customer_id,age_group,household_type,income_level,residence_type,price_sensitivity,freshness_sensitivity,preferred_category,visit_frequency
CUS000001,50s,couple,high,single_household,0.38,0.74,cheese,medium
CUS000002,30s,couple,middle,apartment,0.51,0.58,produce,medium
CUS000003,50s,couple,middle,apartment,0.35,0.93,deli,high
CUS000004,40s,single,middle,single_household,0.78,0.91,dairy,medium
CUS000005,20s,couple,middle,single_household,0.82,0.48,deli,high
CUS000006,60_plus,family,middle,apartment,0.26,0.85,meat,medium
CUS000007,50s,senior,high,villa,0.4,0.91,meat,high
CUS000008,50s,couple,high,single_household,0.36,0.79,dairy,high
CUS000009,20s,couple,high,villa,0.43,0.8,cheese,high
CUS000010,40s,family,middle,apartment,0.55,0.77,meat,medium
CUS000011,30s,family,middle,apartment,0.32,0.52,dairy,high
CUS000012,60_plus,senior,middle,villa,0.55,1.0,produce,low
CUS000013,40s,family,low,apartment,0.72,0.71,produce,medium
CUS000014,50s,family,middle,apartment,0.66,0.71,meat,medium
CUS000015,30s,family,middle,apartment,0.6,0.71,meat,high
CUS000016,30s,family,high,villa,0.49,0.66,dairy,medium
CUS000017,40s,single,middle,single_household,0.62,0.5,deli,medium
CUS000018,20s,single,low,villa,0.62,0.68,dairy,low
CUS000019,50s,family,high,apartment,0.41,0.82,dairy,high
CUS000020,40s,single,high,single_household,0.22,0.84,deli,medium
CUS000021,50s,senior,high,villa,0.29,0.8,meat,low
CUS000022,30s,family,middle,apartment,0.64,0.72,dairy,medium
CUS000023,60_plus,couple,high,single_household,0.26,0.88,deli,low
CUS000024,50s,couple,middle,villa,0.56,0.75,cheese,low
CUS000025,50s,couple,high,apartment,0.43,0.94,meat,low
CUS000026,20s,single,low,single_household,0.69,0.54,deli,medium
CUS000027,40s,single,high,single_household,0.61,0.87,dairy,low
CUS000028,20s,single,middle,single_household,0.77,0.66,produce,high
CUS000029,20s,single,low,apartment,0.8,0.78,dairy,medium
CUS000030,40s,couple,low,apartment,0.72,0.76,produce,high
CUS000031,50s,couple,high,apartment,0.61,0.73,produce,high
CUS000032,60_plus,couple,low,apartment,0.65,0.59,dairy,low
CUS000033,30s,family,high,apartment,0.37,0.91,produce,medium
CUS000034,30s,single,middle,single_household,0.73,0.7,deli,high
CUS000035,40s,single,low,apartment,0.56,0.56,dairy,medium
CUS000036,20s,single,middle,apartment,0.79,0.5,dairy,medium
CUS000037,20s,senior,middle,apartment,0.47,0.78,produce,low
CUS000038,40s,family,high,apartment,0.66,0.81,dairy,high
CUS000039,30s,family,middle,apartment,0.51,0.86,deli,medium
CUS000040,40s,family,low,apartment,0.78,0.63,produce,medium
CUS000041,30s,family,middle,villa,0.78,0.73,produce,low
CUS000042,50s,single,middle,single_household,0.41,0.51,produce,high
CUS000043,50s,couple,low,apartment,0.71,0.69,produce,high
CUS000044,30s,single,low,apartment,0.89,0.63,deli,low
CUS000045,50s,senior,middle,apartment,0.54,0.81,cheese,medium
CUS000046,50s,couple,high,apartment,0.65,0.77,cheese,low
CUS000047,30s,single,high,single_household,0.41,0.96,meat,low
CUS000048,30s,family,low,single_household,0.71,0.72,cheese,medium
CUS000049,40s,family,high,villa,0.5,0.98,dairy,medium
CUS000050,20s,single,middle,single_household,0.6,0.62,deli,medium
CUS000051,20s,single,low,single_household,0.83,0.79,dairy,medium
CUS000052,20s,couple,low,apartment,0.85,0.63,produce,low
CUS000053,50s,single,high,single_household,0.12,0.76,deli,medium
CUS000054,40s,family,high,villa,0.54,0.89,produce,high
CUS000055,50s,couple,high,apartment,0.29,0.8,produce,high
CUS000056,50s,couple,high,apartment,0.64,0.97,dairy,low
CUS000057,40s,single,low,single_household,0.84,0.39,meat,high
CUS000058,40s,family,low,single_household,0.46,0.83,cheese,high
CUS000059,20s,single,middle,single_household,0.35,0.85,cheese,low
CUS000060,20s,single,low,single_household,0.51,0.82,meat,high
CUS000061,40s,couple,high,apartment,0.34,0.82,produce,medium
CUS000062,40s,family,middle,apartment,0.44,0.94,deli,medium
CUS000063,40s,family,middle,apartment,0.43,0.91,produce,medium
CUS000064,50s,family,middle,apartment,0.62,0.41,produce,low
CUS000065,40s,family,middle,single_household,0.45,0.83,deli,high
CUS000066,40s,senior,middle,apartment,0.33,0.63,meat,medium
CUS000067,40s,family,high,apartment,0.58,0.96,meat,medium
CUS000068,30s,family,middle,apartment,0.48,0.81,produce,medium
CUS000069,20s,single,middle,apartment,0.68,0.49,produce,medium
CUS000070,30s,couple,middle,apartment,0.54,0.73,cheese,low
CUS000071,30s,family,middle,villa,0.58,0.71,meat,low
CUS000072,30s,family,high,villa,0.15,0.77,meat,high
CUS000073,50s,single,high,single_household,0.61,0.78,produce,low
CUS000074,30s,family,high,villa,0.25,0.7,produce,low
CUS000075,20s,family,low,apartment,0.67,0.7,dairy,high
CUS000076,30s,single,middle,single_household,0.48,0.7,meat,medium
CUS000077,30s,single,middle,villa,0.35,0.73,produce,medium
CUS000078,40s,family,middle,apartment,0.57,0.8,cheese,medium
CUS000079,40s,family,low,apartment,0.64,0.58,dairy,high
CUS000080,50s,family,middle,apartment,0.57,0.69,meat,medium
CUS000081,40s,family,middle,villa,0.7,0.89,cheese,medium
CUS000082,30s,couple,low,apartment,0.31,0.82,cheese,medium
CUS000083,50s,family,high,villa,0.38,0.71,produce,low
CUS000084,20s,single,low,single_household,0.78,0.67,deli,low
CUS000085,20s,couple,low,apartment,0.45,0.43,meat,high
CUS000086,20s,family,low,apartment,0.26,0.7,cheese,high
CUS000087,50s,couple,middle,apartment,0.77,0.75,produce,low
CUS000088,40s,couple,middle,villa,0.81,0.82,produce,low
CUS000089,20s,single,middle,villa,0.36,0.71,deli,medium
CUS000090,40s,couple,middle,villa,0.54,0.73,deli,low
CUS000091,20s,couple,middle,single_household,0.75,0.62,meat,low
CUS000092,40s,senior,high,villa,0.11,0.92,meat,high
CUS000093,30s,family,high,apartment,0.5,0.83,meat,medium
CUS000094,30s,family,low,apartment,0.7,0.57,cheese,low
CUS000095,30s,couple,high,single_household,0.36,0.55,dairy,medium
CUS000096,40s,senior,middle,apartment,0.57,1.0,meat,low
CUS000097,30s,family,high,apartment,0.61,0.86,dairy,medium
CUS000098,20s,single,middle,apartment,0.62,0.52,deli,medium
CUS000099,20s,single,middle,single_household,0.34,0.51,produce,medium
CUS000100,60_plus,couple,low,villa,0.64,0.47,meat,medium
CUS000101,60_plus,senior,middle,apartment,0.43,0.77,produce,medium
CUS000102,40s,family,low,apartment,0.73,0.76,meat,low
CUS000103,30s,couple,middle,apartment,0.71,0.7,produce,low
CUS000104,60_plus,family,middle,apartment,0.38,0.58,meat,low
CUS000105,50s,family,middle,villa,0.56,0.9,cheese,high
CUS000106,50s,couple,middle,apartment,0.49,0.37,meat,medium
CUS000107,30s,family,high,single_household,0.34,0.96,cheese,low
CUS000108,30s,single,middle,single_household,0.56,0.6,deli,medium
CUS000109,20s,single,low,apartment,0.83,0.7,dairy,medium
CUS000110,60_plus,senior,middle,apartment,0.27,0.82,cheese,high
CUS000111,40s,couple,high,apartment,0.24,0.7,deli,low
CUS000112,30s,family,middle,apartment,0.5,0.66,meat,medium
CUS000113,30s,family,middle,apartment,0.49,0.63,produce,low
CUS000114,40s,couple,middle,apartment,0.58,0.96,produce,high
CUS000115,20s,senior,low,apartment,0.9,0.5,dairy,low
CUS000116,50s,couple,middle,apartment,0.52,0.96,dairy,medium
CUS000117,50s,senior,low,villa,0.62,0.46,deli,medium
CUS000118,50s,senior,middle,single_household,0.39,0.51,cheese,medium
CUS000119,30s,family,low,single_household,0.48,0.76,cheese,low
CUS000120,40s,family,middle,apartment,0.28,0.81,deli,low
CUS000121,40s,couple,low,villa,0.41,0.5,dairy,high
CUS000122,40s,family,middle,apartment,0.5,0.8,dairy,high
CUS000123,20s,single,middle,villa,0.4,0.71,deli,high
CUS000124,30s,couple,middle,apartment,0.53,0.86,produce,high
