customer_id,age_group,household_size,household_type,income_decile,income_level,residence_type,disposable_income,monthly_food_budget,mart_fresh_budget,price_sensitivity,freshness_sensitivity,basket_size_factor,visit_lambda_year,visit_frequency,preferred_category,pref_produce,pref_meat,pref_dairy,pref_deli,pref_cheese
CUS000001,30s,3~4,family,5,middle,apartment,3185740,415416,18694,0.723,0.7778,1.11,86.6,medium,produce,0.3151,0.2787,0.2994,0.1031,0.0037
CUS000002,60_plus,1,senior,1,low,single_household,597808,126134,5676,0.7068,0.6839,0.897,111.5,high,produce,0.4805,0.2334,0.2116,0.054,0.0204
CUS000003,60_plus,1,senior,3,low,single_household,2039997,200701,9032,0.611,0.6459,0.897,126.7,high,produce,0.404,0.3406,0.1053,0.0771,0.0731
CUS000004,60_plus,2,senior,7,middle,single_household,4564124,490537,22074,0.3895,0.8803,1.0,111.1,high,produce,0.4588,0.2962,0.1473,0.0842,0.0135
CUS000005,50s,3~4,family,10,high,apartment,10674991,794141,35736,0.2371,0.7627,1.11,119.1,high,produce,0.5116,0.2039,0.1271,0.1013,0.0561
CUS000006,60_plus,1,senior,4,middle,single_household,2650689,182840,8228,0.3503,0.7538,0.897,114.5,high,produce,0.4826,0.3337,0.0946,0.0586,0.0305
CUS000007,30s,1,single,3,low,villa,2039997,199273,8967,0.4987,0.7275,0.897,81.5,medium,dairy,0.2594,0.1431,0.3108,0.2312,0.0556
CUS000008,60_plus,2,senior,2,low,apartment,1372460,389950,17548,0.7872,0.8525,1.0,65.5,medium,produce,0.5592,0.287,0.0851,0.0319,0.0369
CUS000009,40s,2,couple,6,middle,apartment,3778538,423482,19057,0.3226,0.8492,1.0,60.5,medium,produce,0.451,0.2118,0.2057,0.0377,0.0938
CUS000010,50s,3~4,family,7,middle,single_household,4564124,522331,23505,0.3609,0.8073,1.11,117.5,high,meat,0.3508,0.3645,0.1087,0.0746,0.1014
CUS000011,60_plus,2,senior,6,middle,villa,3778538,459118,20660,0.4501,0.7695,1.0,87.3,medium,produce,0.6293,0.2052,0.0832,0.0342,0.048
CUS000012,50s,3~4,family,8,high,villa,5406144,598599,26937,0.4999,0.8567,1.11,107.7,medium,meat,0.2858,0.3578,0.227,0.0253,0.1042
CUS000013,50s,3~4,family,8,high,apartment,5406144,674957,30373,0.5231,0.5664,1.11,61.0,medium,produce,0.3936,0.256,0.194,0.0926,0.0638
CUS000014,60_plus,3~4,family,6,middle,apartment,3778538,573887,25825,0.5123,0.7113,1.11,63.1,medium,produce,0.4087,0.2539,0.1264,0.1672,0.0438
CUS000015,60_plus,1,senior,3,low,villa,2039997,199616,8983,0.5113,0.799,0.897,73.5,medium,produce,0.4818,0.1779,0.0977,0.1837,0.0589
CUS000016,30s,1,single,2,low,single_household,1372460,204574,9206,0.7728,0.6773,0.897,124.3,high,meat,0.2595,0.2888,0.1862,0.0765,0.1889
CUS000017,30s,2,couple,5,middle,apartment,3185740,409558,18430,0.659,0.6912,1.0,80.9,medium,meat,0.1584,0.5129,0.1334,0.0773,0.1179
CUS000018,60_plus,2,senior,5,middle,apartment,3185740,375094,16879,0.6456,0.7666,1.0,67.2,medium,produce,0.5207,0.1358,0.2457,0.0704,0.0274
CUS000019,60_plus,1,senior,3,low,apartment,2039997,175561,7900,0.6409,0.9058,0.897,79.1,medium,produce,0.5196,0.2767,0.0813,0.0715,0.0509
CUS000020,50s,3~4,family,9,high,apartment,6734142,634043,28532,0.3568,0.7642,1.11,55.3,medium,produce,0.3849,0.093,0.3027,0.0999,0.1196
CUS000021,30s,2,couple,8,high,apartment,5406144,670849,30188,0.3192,0.8022,1.0,91.1,medium,produce,0.355,0.2276,0.1357,0.186,0.0958
CUS000022,60_plus,3~4,family,3,low,apartment,2039997,420168,18908,0.5873,0.8389,1.11,102.3,medium,produce,0.4767,0.2139,0.2099,0.0969,0.0025
CUS000023,60_plus,2,senior,7,middle,apartment,4564124,488465,21981,0.3668,0.5855,1.0,75.1,medium,produce,0.3746,0.308,0.1498,0.1116,0.0559
CUS000024,60_plus,3~4,family,6,middle,apartment,3778538,537472,24186,0.4311,0.7677,1.11,61.9,medium,produce,0.4096,0.2086,0.214,0.0909,0.0769
CUS000025,30s,1,single,6,middle,single_household,3778538,297113,13370,0.3881,0.8589,0.897,135.2,high,produce,0.4389,0.2393,0.0904,0.1461,0.0854
CUS000026,60_plus,1,senior,2,low,single_household,1372460,199979,8999,0.5988,0.7721,0.897,80.7,medium,produce,0.3762,0.258,0.1541,0.1244,0.0874
CUS000027,60_plus,2,senior,3,low,apartment,2039997,307576,13841,0.5448,0.6866,1.0,121.6,high,produce,0.4963,0.1548,0.2175,0.0945,0.0369
CUS000028,50s,3~4,family,4,middle,villa,2650689,379115,17060,0.4618,0.7803,1.11,47.3,low,produce,0.5726,0.2092,0.0931,0.0874,0.0378
CUS000029,60_plus,1,senior,4,middle,villa,2650689,221153,9952,0.6786,0.7396,0.897,65.6,medium,produce,0.4483,0.3271,0.16,0.0549,0.0096
CUS000030,50s,2,couple,1,low,villa,597808,255230,11485,0.8002,0.6604,1.0,170.4,high,meat,0.2352,0.3179,0.1588,0.056,0.2321
CUS000031,60_plus,1,senior,4,middle,apartment,2650689,197209,8874,0.6099,0.7717,0.897,45.7,low,produce,0.3774,0.0923,0.2968,0.0648,0.1687
CUS000032,60_plus,2,senior,5,middle,villa,3185740,432677,19470,0.5774,0.6971,1.0,143.2,high,produce,0.4881,0.1828,0.295,0.029,0.0051
CUS000033,60_plus,1,senior,1,low,single_household,597808,200878,9039,0.924,0.849,0.897,52.4,low,produce,0.4084,0.2748,0.1748,0.0676,0.0744
CUS000034,50s,3~4,family,9,high,villa,6734142,587324,26430,0.3771,0.7804,1.11,100.3,medium,produce,0.4072,0.1554,0.1842,0.1531,0.1002
CUS000035,50s,3~4,family,6,middle,apartment,3778538,559266,25167,0.4603,0.8149,1.11,37.7,low,produce,0.447,0.3368,0.0857,0.0423,0.0882
CUS000036,60_plus,3~4,family,8,high,apartment,5406144,632820,28477,0.3015,0.7314,1.11,81.6,medium,produce,0.3412,0.3082,0.1259,0.1612,0.0635
CUS000037,30s,2,couple,5,middle,apartment,3185740,365537,16449,0.5633,0.7906,1.0,75.9,medium,meat,0.2755,0.3567,0.2271,0.1192,0.0216
CUS000038,40s,3~4,family,9,high,single_household,6734142,689011,31005,0.438,0.6634,1.11,79.8,medium,produce,0.2686,0.236,0.2291,0.1856,0.0807
CUS000039,40s,1,single,1,low,single_household,597808,151503,6818,0.8445,0.6808,0.897,27.5,low,dairy,0.2461,0.1475,0.2898,0.2404,0.0762
CUS000040,40s,3~4,family,10,high,apartment,10674991,901042,40547,0.4205,0.7998,1.11,163.0,high,meat,0.2784,0.4677,0.047,0.1772,0.0298
CUS000041,20s,1,single,3,low,single_household,2039997,239153,10762,0.7194,0.6556,0.897,71.9,medium,meat,0.265,0.2937,0.2214,0.1048,0.1152
CUS000042,60_plus,1,senior,1,low,single_household,597808,162484,7312,0.8735,0.7736,0.897,95.8,medium,produce,0.6858,0.1335,0.1134,0.0495,0.0178
CUS000043,40s,1,single,7,middle,villa,4564124,306048,13772,0.5528,0.6485,0.897,74.5,medium,produce,0.3387,0.2005,0.2177,0.2052,0.0379
CUS000044,60_plus,3~4,family,6,middle,apartment,3778538,443148,19942,0.4102,0.7388,1.11,78.8,medium,produce,0.3911,0.1273,0.3014,0.1571,0.0232
CUS000045,60_plus,1,senior,4,middle,single_household,2650689,204736,9213,0.5474,0.7432,0.897,82.3,medium,produce,0.3419,0.2603,0.1411,0.1751,0.0817
CUS000046,60_plus,1,senior,1,low,single_household,597808,138519,6233,0.8975,0.8027,0.897,62.1,medium,produce,0.4564,0.253,0.1176,0.1455,0.0275
CUS000047,40s,1,single,5,middle,apartment,3185740,210963,9493,0.4364,0.8347,0.897,109.7,medium,produce,0.5117,0.1494,0.1843,0.0687,0.086
CUS000048,50s,1,single,8,high,apartment,5406144,342526,15414,0.5048,0.6954,0.897,106.3,medium,produce,0.3349,0.2432,0.1191,0.1436,0.1591
CUS000049,20s,2,couple,6,middle,apartment,3778538,427384,19232,0.4204,0.5204,1.0,55.3,medium,meat,0.1839,0.3193,0.1338,0.204,0.1591
CUS000050,60_plus,1,senior,1,low,single_household,597808,196249,8831,0.824,0.9679,0.897,85.7,medium,produce,0.5388,0.1977,0.105,0.0805,0.0779
CUS000051,30s,2,couple,7,middle,apartment,4564124,607074,27318,0.6178,0.6915,1.0,91.5,medium,produce,0.3729,0.1666,0.1448,0.2673,0.0485
CUS000052,20s,1,single,7,middle,single_household,4564124,293458,13206,0.4574,0.6715,0.897,80.4,medium,produce,0.3161,0.2129,0.2285,0.1826,0.0598
CUS000053,60_plus,2,senior,10,high,villa,10674991,747171,33623,0.3395,0.7676,1.0,120.0,high,produce,0.4171,0.3001,0.2021,0.0197,0.061
CUS000054,50s,3~4,family,8,high,apartment,5406144,760915,34241,0.6491,0.7651,1.11,28.7,low,produce,0.2808,0.2735,0.0894,0.251,0.1054
CUS000055,60_plus,1,senior,1,low,apartment,597808,130132,5856,0.8375,0.9486,0.897,39.1,low,produce,0.5885,0.2524,0.0748,0.0505,0.0338
CUS000056,60_plus,2,senior,9,high,apartment,6734142,660699,29731,0.3475,0.7971,1.0,126.2,high,produce,0.5711,0.1027,0.2616,0.0498,0.0147
CUS000057,50s,3~4,family,6,middle,apartment,3778538,533121,23990,0.4378,0.7804,1.11,48.5,low,produce,0.316,0.1774,0.2474,0.0435,0.2157
CUS000058,60_plus,3~4,family,9,high,villa,6734142,646972,29114,0.4373,0.7229,1.11,31.4,low,produce,0.466,0.2639,0.1016,0.1163,0.0521
CUS000059,50s,2,couple,3,low,apartment,2039997,370261,16662,0.5852,0.7503,1.0,90.5,medium,produce,0.4047,0.2769,0.1627,0.0365,0.1192
CUS000060,30s,2,couple,2,low,villa,1372460,283879,12775,0.7315,0.7827,1.0,56.6,medium,dairy,0.1555,0.2101,0.2634,0.2526,0.1183
CUS000061,40s,3~4,family,9,high,single_household,6734142,579609,26082,0.4794,0.6908,1.11,163.9,high,meat,0.2368,0.3608,0.1641,0.139,0.0994
CUS000062,50s,2,couple,5,middle,villa,3185740,340006,15300,0.4759,0.6736,1.0,66.9,medium,meat,0.3202,0.382,0.0783,0.1474,0.0721
CUS000063,50s,2,couple,7,middle,apartment,4564124,473428,21304,0.3587,0.8278,1.0,77.3,medium,produce,0.3389,0.2464,0.0959,0.1467,0.1722
CUS000064,50s,1,single,1,low,villa,597808,183909,8276,0.8726,0.8386,0.897,54.2,low,produce,0.3972,0.315,0.1489,0.0806,0.0583
CUS000065,40s,1,single,3,low,villa,2039997,175218,7885,0.6718,0.5552,0.897,115.3,high,meat,0.2174,0.292,0.1744,0.1754,0.1408
CUS000066,50s,3~4,family,8,high,single_household,5406144,580607,26127,0.4524,0.7854,1.11,98.8,medium,produce,0.4757,0.1388,0.2552,0.0786,0.0518
CUS000067,30s,1,single,2,low,apartment,1372460,216133,9726,0.5849,0.7322,0.897,105.1,medium,produce,0.424,0.2593,0.2414,0.0499,0.0254
CUS000068,60_plus,1,senior,10,high,villa,10674991,317035,14267,0.2989,0.7876,0.897,59.0,medium,produce,0.419,0.37,0.0629,0.1234,0.0246
CUS000069,20s,1,single,4,middle,apartment,2650689,145770,6560,0.658,0.6494,0.897,113.5,high,dairy,0.3161,0.209,0.3232,0.1282,0.0235
CUS000070,60_plus,1,senior,9,high,single_household,6734142,294554,13255,0.3737,0.8093,0.897,40.2,low,produce,0.4425,0.257,0.0974,0.1141,0.089
CUS000071,50s,3~4,family,9,high,apartment,6734142,660743,29733,0.445,0.8699,1.11,64.1,medium,produce,0.5009,0.2627,0.0717,0.0457,0.119
CUS000072,20s,1,single,3,low,villa,2039997,166795,7506,0.5752,0.5742,0.897,67.0,medium,produce,0.2638,0.118,0.2293,0.2143,0.1746
CUS000073,20s,3~4,family,9,high,villa,6734142,710019,31951,0.4222,0.7103,1.11,107.5,medium,dairy,0.3151,0.1553,0.3656,0.1322,0.0318
CUS000074,40s,3~4,family,9,high,apartment,6734142,738580,33236,0.4571,0.8118,1.11,132.3,high,produce,0.3397,0.3222,0.0475,0.0938,0.1968
CUS000075,30s,3~4,family,6,middle,apartment,3778538,573427,25804,0.5493,0.7042,1.11,91.6,medium,dairy,0.2064,0.2618,0.2952,0.0416,0.195
CUS000076,30s,2,couple,3,low,apartment,2039997,302311,13604,0.5783,0.7083,1.0,76.4,medium,produce,0.3118,0.2548,0.1922,0.2112,0.0299
CUS000077,30s,2,couple,3,low,apartment,2039997,360919,16241,0.5338,0.7789,1.0,116.5,high,deli,0.268,0.1773,0.1234,0.3351,0.0962
CUS000078,50s,2,couple,2,low,apartment,1372460,305678,13756,0.5998,0.8051,1.0,116.0,high,produce,0.4439,0.3494,0.1028,0.0724,0.0314
CUS000079,20s,1,single,3,low,apartment,2039997,168347,7576,0.5784,0.6617,0.897,113.6,high,deli,0.2164,0.2448,0.1596,0.2627,0.1165
CUS000080,60_plus,1,senior,3,low,apartment,2039997,201535,9069,0.687,0.8173,0.897,55.8,medium,produce,0.4927,0.1708,0.1832,0.0499,0.1033
CUS000081,40s,2,couple,4,middle,apartment,2650689,343102,15440,0.5924,0.7532,1.0,103.8,medium,meat,0.3074,0.3721,0.1695,0.1177,0.0333
CUS000082,50s,1,single,7,middle,apartment,4564124,289487,13027,0.5062,0.7246,0.897,102.4,medium,produce,0.5008,0.2812,0.1322,0.0517,0.034
CUS000083,30s,2,couple,4,middle,apartment,2650689,361802,16281,0.652,0.7385,1.0,93.9,medium,produce,0.4579,0.2106,0.1265,0.1408,0.0642
CUS000084,60_plus,3~4,family,10,high,apartment,10674991,701843,31583,0.3297,0.6587,1.11,53.3,low,produce,0.516,0.1009,0.2748,0.0837,0.0247
CUS000085,60_plus,1,senior,3,low,single_household,2039997,234822,10567,0.7058,0.7533,0.897,116.6,high,produce,0.5166,0.1703,0.1968,0.0707,0.0456
CUS000086,60_plus,1,senior,8,high,villa,5406144,366107,16475,0.287,0.7951,0.897,66.1,medium,produce,0.599,0.2197,0.15,0.0113,0.02
CUS000087,50s,1,single,10,high,single_household,10674991,443279,19948,0.1815,0.8102,0.897,89.2,medium,produce,0.4751,0.1663,0.2143,0.1066,0.0377
CUS000088,30s,3~4,family,6,middle,apartment,3778538,500930,22542,0.5633,0.7289,1.11,152.0,high,produce,0.5166,0.1464,0.1048,0.183,0.0493
CUS000089,60_plus,1,senior,1,low,apartment,597808,164132,7386,0.8139,0.7863,0.897,52.0,low,produce,0.4377,0.2869,0.2166,0.0259,0.0329
CUS000090,50s,1,single,1,low,apartment,597808,131021,5896,0.8052,0.7606,0.897,149.0,high,produce,0.3792,0.2595,0.1798,0.1141,0.0674
CUS000091,50s,1,single,3,low,single_household,2039997,209294,9418,0.619,0.5988,0.897,105.5,medium,produce,0.4257,0.3228,0.1905,0.0216,0.0394
CUS000092,30s,2,couple,9,high,apartment,6734142,573273,25797,0.3595,0.6552,1.0,41.2,low,meat,0.2477,0.3006,0.1997,0.1,0.1519
CUS000093,50s,1,single,10,high,apartment,10674991,352451,15860,0.2171,0.7767,0.897,141.9,high,produce,0.4866,0.2031,0.1998,0.0808,0.0297
CUS000094,30s,1,single,3,low,single_household,2039997,163616,7363,0.4638,0.7318,0.897,166.2,high,produce,0.3073,0.2436,0.2488,0.1296,0.0707
CUS000095,20s,1,single,1,low,single_household,597808,171073,7698,0.8357,0.6649,0.897,80.7,medium,meat,0.3206,0.3512,0.1332,0.1302,0.0647
CUS000096,60_plus,2,senior,1,low,apartment,597808,293363,13201,0.846,0.7457,1.0,110.7,high,produce,0.5472,0.2175,0.1657,0.0453,0.0243
CUS000097,60_plus,3~4,family,5,middle,villa,3185740,366007,16470,0.587,0.7505,1.11,88.8,medium,produce,0.479,0.1819,0.117,0.2075,0.0146
CUS000098,60_plus,2,senior,4,middle,apartment,2650689,415918,18716,0.4416,0.6362,1.0,45.9,low,produce,0.4979,0.2169,0.1084,0.059,0.1178
CUS000099,60_plus,2,senior,4,middle,single_household,2650689,329115,14810,0.667,0.9873,1.0,112.1,high,produce,0.3986,0.2598,0.1786,0.0789,0.0841
CUS000100,50s,2,couple,1,low,apartment,597808,214844,9668,0.7804,0.7866,1.0,134.4,high,produce,0.4171,0.3189,0.1613,0.0459,0.0569
CUS000101,40s,3~4,family,8,high,apartment,5406144,598897,26950,0.3788,0.6961,1.11,45.5,low,produce,0.4004,0.2275,0.1256,0.1686,0.0778
CUS000102,30s,2,couple,6,middle,single_household,3778538,531893,23935,0.4216,0.672,1.0,86.8,medium,dairy,0.3185,0.2188,0.3558,0.0445,0.0625
CUS000103,60_plus,1,senior,4,middle,single_household,2650689,139514,6278,0.6052,0.7622,0.897,33.1,low,produce,0.3371,0.2974,0.2638,0.083,0.0188
CUS000104,30s,3~4,family,10,high,apartment,10674991,796546,35845,0.3515,0.7855,1.11,50.8,low,meat,0.2735,0.282,0.2643,0.1388,0.0414
CUS000105,60_plus,1,senior,1,low,apartment,597808,148365,6676,0.8775,0.7841,0.897,73.8,medium,produce,0.4333,0.402,0.0573,0.0733,0.0341
CUS000106,30s,3~4,family,9,high,apartment,6734142,637897,28705,0.1853,0.7634,1.11,78.2,medium,produce,0.4754,0.1464,0.2055,0.1136,0.0591
CUS000107,20s,2,couple,2,low,apartment,1372460,302378,13607,0.6081,0.679,1.0,82.9,medium,produce,0.3074,0.2041,0.2267,0.0945,0.1673
CUS000108,60_plus,2,senior,7,middle,apartment,4564124,534951,24073,0.542,0.7639,1.0,41.4,low,produce,0.4653,0.2555,0.1597,0.0988,0.0207
CUS000109,60_plus,3~4,family,10,high,apartment,10674991,668789,30096,0.2998,0.5875,1.11,65.6,medium,meat,0.3809,0.4582,0.0911,0.0438,0.0261
CUS000110,40s,1,single,1,low,single_household,597808,172793,7776,0.8813,0.8794,0.897,102.5,medium,produce,0.4609,0.272,0.1175,0.1075,0.0421
CUS000111,60_plus,1,senior,2,low,single_household,1372460,205442,9245,0.6429,0.7689,0.897,49.1,low,produce,0.4384,0.2974,0.1856,0.0239,0.0548
CUS000112,40s,3~4,family,7,middle,apartment,4564124,533161,23992,0.6112,0.7975,1.11,69.9,medium,produce,0.3876,0.2522,0.2401,0.0405,0.0797
CUS000113,60_plus,1,senior,1,low,apartment,597808,164458,7401,0.8806,0.827,0.897,124.6,high,produce,0.5872,0.2893,0.0919,0.0101,0.0215
CUS000114,60_plus,1,senior,1,low,apartment,597808,152864,6879,0.9357,0.8738,0.897,30.5,low,produce,0.5532,0.1651,0.1649,0.1142,0.0026
CUS000115,50s,5+,family,7,middle,villa,4564124,558776,25145,0.4716,0.7732,1.252,53.4,low,produce,0.3862,0.1561,0.328,0.0766,0.0531
CUS000116,60_plus,3~4,family,9,high,apartment,6734142,672469,30261,0.4337,0.6601,1.11,202.6,high,meat,0.2141,0.5296,0.2273,0.0128,0.0163
CUS000117,60_plus,3~4,family,6,middle,apartment,3778538,551120,24800,0.5604,0.8801,1.11,177.5,high,produce,0.3665,0.2166,0.2291,0.0668,0.1211
CUS000118,30s,1,single,3,low,single_household,2039997,194436,8750,0.6136,0.8415,0.897,46.0,low,deli,0.2729,0.0789,0.1051,0.5177,0.0254
CUS000119,40s,2,couple,4,middle,apartment,2650689,330758,14884,0.5119,0.881,1.0,33.9,low,produce,0.576,0.1661,0.0935,0.1176,0.0469
CUS000120,40s,3~4,family,1,low,apartment,597808,285077,12828,0.7961,0.6501,1.11,90.7,medium,produce,0.3563,0.2303,0.1222,0.2639,0.0273
CUS000121,50s,2,couple,8,high,apartment,5406144,612170,27548,0.4895,0.7755,1.0,47.7,low,meat,0.3478,0.3692,0.1104,0.0765,0.0961
CUS000122,30s,1,single,5,middle,single_household,3185740,189651,8534,0.4694,0.7837,0.897,99.9,medium,produce,0.2854,0.2056,0.2298,0.2016,0.0776
CUS000123,50s,2,couple,5,middle,apartment,3185740,460734,20733,0.5806,0.7511,1.0,75.3,medium,meat,0.2749,0.3754,0.1333,0.1599,0.0565
CUS000124,60_plus,1,senior,3,low,apartment,2039997,214354,9646,0.6101,0.6638,0.897,72.9,medium,produce,0.3949,0.207,0.338,0.0249,0.0353
CUS000125,60_plus,1,senior,3,low,apartment,2039997,175576,7901,0.7336,0.8714,0.897,82.0,medium,produce,0.4548,0.2235,0.1159,0.0491,0.1566
CUS000126,50s,3~4,family,10,high,apartment,10674991,640392,28818,0.257,0.7734,1.11,46.5,low,dairy,0.2283,0.1288,0.2799,0.1421,0.2208
CUS000127,60_plus,3~4,family,8,high,apartment,5406144,625621,28153,0.5384,0.7187,1.11,73.7,medium,produce,0.4749,0.201,0.1779,0.1163,0.0299
CUS000128,50s,2,couple,10,high,apartment,10674991,783090,35239,0.2947,0.7073,1.0,130.1,high,dairy,0.271,0.2135,0.3146,0.1808,0.02
CUS000129,30s,1,single,10,high,single_household,10674991,392213,17650,0.3379,0.7453,0.897,82.7,medium,produce,0.2565,0.2323,0.168,0.2284,0.1147
CUS000130,40s,3~4,family,9,high,apartment,6734142,561836,25283,0.3398,0.7392,1.11,39.5,low,produce,0.4858,0.2699,0.136,0.0552,0.0531
CUS000131,60_plus,3~4,family,5,middle,villa,3185740,481340,21660,0.5507,0.8698,1.11,113.9,high,produce,0.3466,0.282,0.3155,0.0414,0.0144
CUS000132,60_plus,3~4,family,9,high,apartment,6734142,683427,30754,0.4787,0.858,1.11,187.4,high,produce,0.3422,0.3307,0.1001,0.2108,0.0161
CUS000133,40s,3~4,family,9,high,villa,6734142,573788,25820,0.4469,0.7026,1.11,73.9,medium,meat,0.2524,0.2814,0.2549,0.0655,0.1457
CUS000134,50s,1,single,4,middle,single_household,2650689,211761,9529,0.6598,0.7929,0.897,39.1,low,produce,0.3724,0.3567,0.1301,0.1096,0.0311
CUS000135,50s,1,single,8,high,single_household,5406144,328079,14764,0.4576,0.8763,0.897,79.4,medium,meat,0.3489,0.3928,0.0716,0.113,0.0735
CUS000136,60_plus,1,senior,3,low,apartment,2039997,199930,8997,0.6718,0.7699,0.897,69.6,medium,produce,0.434,0.3153,0.1147,0.1,0.0361
CUS000137,30s,3~4,family,9,high,single_household,6734142,577037,25967,0.3742,0.9138,1.11,127.9,high,produce,0.3467,0.246,0.1485,0.167,0.0917
CUS000138,60_plus,1,senior,1,low,single_household,597808,153609,6912,0.8216,0.693,0.897,42.5,low,produce,0.3884,0.3381,0.1013,0.1201,0.0521
CUS000139,40s,3~4,family,5,middle,apartment,3185740,515885,23215,0.4084,0.7065,1.11,70.3,medium,produce,0.3275,0.223,0.1534,0.2305,0.0655
CUS000140,60_plus,2,senior,3,low,apartment,2039997,344738,15513,0.6902,0.8827,1.0,65.2,medium,produce,0.3333,0.1995,0.3304,0.1311,0.0055
CUS000141,60_plus,1,senior,5,middle,single_household,3185740,199241,8966,0.4562,0.8692,0.897,108.9,medium,produce,0.6157,0.1584,0.1222,0.0746,0.0291
CUS000142,30s,1,single,3,low,apartment,2039997,188129,8466,0.6735,0.8419,0.897,109.2,medium,produce,0.4771,0.1362,0.1507,0.1343,0.1016
CUS000143,20s,1,single,6,middle,single_household,3778538,245309,11039,0.5111,0.6203,0.897,36.2,low,deli,0.2275,0.2192,0.2045,0.2856,0.0633
CUS000144,40s,1,single,3,low,apartment,2039997,170537,7674,0.5878,0.7412,0.897,37.4,low,produce,0.3035,0.2692,0.0943,0.1972,0.1359
CUS000145,50s,3~4,family,9,high,apartment,6734142,697887,31405,0.4765,0.8354,1.11,71.8,medium,meat,0.2948,0.4904,0.0769,0.0779,0.06
CUS000146,20s,1,single,6,middle,single_household,3778538,218183,9818,0.5171,0.6549,0.897,55.9,medium,produce,0.3736,0.1885,0.0804,0.2546,0.1028
CUS000147,40s,3~4,family,6,middle,apartment,3778538,486269,21882,0.4224,0.6635,1.11,54.3,low,meat,0.2729,0.3603,0.1171,0.1621,0.0876
CUS000148,60_plus,3~4,family,3,low,apartment,2039997,392321,17654,0.6466,0.809,1.11,98.9,medium,meat,0.3092,0.3971,0.1764,0.0591,0.0582
CUS000149,60_plus,1,senior,7,middle,single_household,4564124,309862,13944,0.589,0.8007,0.897,60.1,medium,produce,0.4026,0.3754,0.1642,0.041,0.0168
CUS000150,50s,1,single,6,middle,apartment,3778538,194029,8731,0.4179,0.8118,0.897,33.0,low,meat,0.3315,0.3939,0.1015,0.1001,0.073
CUS000151,40s,1,single,3,low,single_household,2039997,200505,9023,0.7255,0.6944,0.897,94.9,medium,meat,0.3223,0.4066,0.0233,0.1247,0.1231
